,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
1044,1,170-1-10,2.4,8.4,5.4,6,Coarse till,Coarse,GW-GM,Yes,Yes,No visible ice,0,Nf,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.12556646,0.017042389,0.536246709,1.44E-06,0.999862418
1045,2,170-1-10,1.4,2.4,1.9,1,Coarse till,Coarse,SW-SM,Yes,Yes,No visible ice,0,Nf,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139670572,0.020992328,0.542446258,1.91E-06,0.999857115
1046,3,170-1-12,0,2.4,1.2,2.4,Coarse till,Coarse,GP-GM,Yes,Yes,No visible ice,0,Nf,Smooth,Flat,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.142645823,0.021883701,0.543684654,2.03E-06,0.99985603
1203,4,170-1-12,2.4,5.5,3.95,3.1,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Smooth,Flat,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.131255513,0.018581456,0.538816564,1.62E-06,0.999860245
589,5,170-1-17,0.6,2.3,1.45,1.7,Sand,Coarse,SM-SC,Yes,Yes,No visible ice,0,,Smooth,Undulating,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.209779695,0.058368866,0.514981823,5.92E-05,0.998539553
741,6,170-1-17,4.6,4.9,4.75,0.3,Silt,Fine,ML,No,Yes,High,87,,Smooth,Undulating,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes,0.461618577,0.073717986,0.886478283,3.49E-05,0.999902777
590,10,170-1-18,5.5,6.9,6.2,1.4,Sand,Coarse,SM,No,Yes,High,87,,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.276642339,0.032725711,0.790805892,5.93E-06,0.999957887
742,7,170-1-18,5.2,5.5,5.35,0.3,Silt,Fine,ML,No,Yes,No visible ice,0,,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.050216375,0.006336263,0.3104523,1.58E-06,0.999300169
743,8,170-1-18,4.3,5.2,4.75,0.9,Silt,Fine,ML,No,Yes,High,87,,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.219165578,0.019201653,0.782895778,2.92E-06,0.999954423
744,9,170-1-18,0.1,2.3,1.2,2.2,Silt,Fine,ML,No,Yes,No visible ice,0,,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes,0.057628015,0.008136953,0.316821333,2.22E-06,0.999268092
1047,15,170-1-2,0.3,2.4,1.35,2.1,Coarse till,Coarse,GM,Yes,Yes,No visible ice,0,,Smooth,Rolling,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.335806568,0.082674274,0.720462371,2.39E-05,0.999693421
1204,14,170-1-2,2.4,4.1,3.25,1.7,Sand,Coarse,SM-SC,No,Yes,Low,8,Vc/Vs,Smooth,Rolling,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.355011195,0.081502809,0.754755664,2.15E-05,0.999766497
1048,20,170-1-27,0,0.9,0.45,0.9,Coarse till,Coarse,SW-SP,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.145892027,0.022879804,0.545010907,2.16E-06,0.999854859
1049,21,170-1-28,5.8,8.8,7.3,3,Coarse till,Coarse,SW-SM,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.118432711,0.015213997,0.532876417,1.23E-06,0.999865214
1050,22,170-1-28,2.1,4.6,3.35,2.5,Coarse till,Coarse,SW-SM,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.133672904,0.019257492,0.539879357,1.70E-06,0.999859336
1051,23,170-1-28,4.6,5.8,5.2,1.2,Coarse till,Coarse,SP-GP,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.126338413,0.017246983,0.536601289,1.46E-06,0.99986212
1052,24,170-1-28,8.8,10,9.4,1.2,Coarse till,Coarse,SW,No,Yes,No visible ice,0,Nf,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.110958883,0.013417377,0.529147877,1.04E-06,0.999868238
1053,26,170-1-29,0,1.5,0.75,1.5,Coarse till,Coarse,SW-SP,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.144586255,0.022476157,0.544480482,2.10E-06,0.999855329
1054,28,170-1-29,2.4,7,4.7,4.6,Coarse till,Coarse,SP-SM,No,Yes,Low,8,Nf,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.146211551,0.019597382,0.584472508,1.60E-06,0.999892231
1135,25,170-1-29,7,8.1,7.55,1.1,Gravel,Coarse,GP-GM,No,Yes,Low,8,Nbn,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.134173385,0.016535261,0.579529454,1.27E-06,0.999895499
1205,27,170-1-29,1.5,2.4,1.95,0.9,Sand,Coarse,SM-SC,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139460056,0.020930036,0.542357781,1.91E-06,0.999857192
1055,36,170-1-32,1.2,2.9,2.05,1.7,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nbn/Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139039821,0.020805993,0.542180819,1.89E-06,0.999857347
1056,37,170-1-32,0.3,1.2,0.75,0.9,Coarse till,Coarse,SW,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.144586255,0.022476157,0.544480482,2.10E-06,0.999855329
1057,42,170-1-36,1.5,2.4,1.95,0.9,Coarse till,Coarse,SW-SM,No,Yes,No visible ice,0,Nf,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes,0.139460056,0.020930036,0.542357781,1.91E-06,0.999857192
