,Borehole.ID,Top.depth,Bottom.depth,Thickness,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
1,170-1-10,0,0.3,0.3,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
8,170-1-17,0,0.6,0.6,Silt,ML,No,No,NA,,0,0,0,Smooth,Undulating,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
12,170-1-18,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
18,170-1-2,0,0.3,0.3,Coarse till,GM,Yes,No,NA,,0,0,0,Smooth,Rolling,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
35,170-1-35,0,0.3,0.3,Organics,TOPSOIL,No,No,NA,,0,0,0,Smooth,Undulating,0.3,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes
46,170-1-4,0,0.6,0.6,Silt,ML,No,No,NA,,0,0,0,Smooth,Undulating,0,Silt,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
48,170-1-41,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
50,170-1-5,0,0.5,0.5,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Rolling,0.5,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes
53,170-1-7,0,1.5,1.5,Coarse till,GP,Yes,No,NA,,0,0,0,Smooth,Flat,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
55,170-1-8,0,1.1,1.1,Coarse till,SP-SM,No,No,NA,,0,0,0,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
62,172-2-2,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.1,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
79,172-2-7,0,0.6,0.6,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.6,Silt,Glaciolacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
87,174-01,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
90,174-02,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes
101,174-09,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
108,174-18,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
113,174-20,0,0.1,0.1,Organics,TOPSOIL,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
121,174-22,0,0.1,0.1,Organics,PEAT,No,No,NA,,0,0,0,Smooth,Undulating,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
