,Intervals,Average.icy.seds,CI.upr.reg,CI.lwr.reg,Average.massive.ice,conf.upr.massive,conf.lwr.massive,,Icy seds thickness (m),Icy seds upr thickness (m),Icy seds lwr thickness (m),Massive ice thickness (m),Massive ice upr thickness (m),Massive ice lwr thickness (m),Cumulative icy seds thickness (m),Cumulative icy seds upr thickness (m),Cumulative icy seds lwr thickness (m),Cumulative massive ice thickness (m),Cumulative massive ice upr thickness (m),Cumulative massive ice lwr thickness (m),Total cumulative ice,Total thaw strain
1,0.5,0.176068293,0.562910477,0.029666891,0.047887324,0.031720952,0.064053696,,0.088034146,0.281455239,0.014833445,0.023943662,0.015860476,0.032026848,0.088034146,0.281455239,0.014833445,0.023943662,0.015860476,0.032026848,0.111977808,0.223955617
2,1,0.18066559,0.575016037,0.03156954,0.057067138,0.03948926,0.074645016,,0.090332795,0.287508018,0.01578477,0.028533569,0.01974463,0.037322508,0.178366942,0.568963257,0.030618215,0.052477231,0.035605106,0.069349356,0.230844173,0.230844173
3,1.5,0.173485199,0.555925822,0.031574763,0.078507993,0.058116976,0.09889901,,0.086742599,0.277962911,0.015787382,0.039253997,0.029058488,0.049449505,0.265109541,0.846926168,0.046405597,0.091731228,0.064663594,0.118798861,0.356840768,0.237893846
4,2,0.17350851,0.551042059,0.032503014,0.078647687,0.058222125,0.099073248,,0.086754255,0.275521029,0.016251507,0.039323844,0.029111063,0.049536624,0.351863796,1.122447197,0.062657104,0.131055071,0.093774657,0.168335485,0.482918867,0.241459434
5,2.5,0.176046987,0.554585666,0.033411644,0.094275492,0.072080491,0.116470493,,0.088023493,0.277292833,0.016705822,0.047137746,0.036040246,0.058235247,0.439887289,1.399740031,0.079362926,0.178192817,0.129814902,0.226570732,0.618080106,0.247232043
6,3,0.171133437,0.548236962,0.032405002,0.120545455,0.095685808,0.145405101,,0.085566719,0.274118481,0.016202501,0.060272728,0.047842904,0.072702551,0.525454008,1.673858511,0.095565427,0.238465545,0.177657806,0.299273282,0.763919553,0.254639851
7,3.5,0.169099676,0.548321802,0.031678265,0.126394052,0.100757757,0.152030348,,0.084549838,0.274160901,0.015839132,0.063197026,0.050378879,0.076015174,0.610003846,1.948019412,0.111404559,0.301662571,0.228036685,0.375288456,0.911666417,0.260476119
8,4,0.161751852,0.540673936,0.029679587,0.128787879,0.102707713,0.154868044,,0.080875926,0.270336968,0.014839793,0.06439394,0.051353857,0.077434022,0.690879772,2.21835638,0.126244353,0.36605651,0.279390541,0.452722478,1.056936282,0.26423407
9,4.5,0.160555272,0.545166146,0.028880705,0.131644359,0.105202509,0.15808621,,0.080277636,0.272583073,0.014440352,0.06582218,0.052601255,0.079043105,0.771157408,2.490939454,0.140684705,0.43187869,0.331991796,0.531765583,1.203036098,0.267341355
10,5,0.152217239,0.535802869,0.026882911,0.127245509,0.100599495,0.153891523,,0.076108619,0.267901434,0.013441455,0.063622755,0.050299748,0.076945762,0.847266028,2.758840888,0.15412616,0.495501444,0.382291543,0.608711345,1.342767472,0.268553494
11,5.5,0.154384262,0.535391752,0.028246938,0.125207469,0.098218164,0.152196773,,0.077192131,0.267695876,0.014123469,0.062603735,0.049109082,0.076098387,0.924458159,3.026536764,0.168249629,0.558105179,0.431400625,0.684809731,1.482563337,0.26955697
12,6,0.152995416,0.536757386,0.026867451,0.126948052,0.099218868,0.154677236,,0.076497708,0.268378693,0.013433726,0.063474026,0.049609434,0.077338618,1.000955867,3.294915457,0.181683355,0.621579205,0.481010059,0.762148349,1.622535071,0.270422512
13,6.5,0.154045396,0.534255198,0.027658982,0.088953488,0.061320792,0.116586184,,0.077022698,0.267127599,0.013829491,0.044476744,0.030660396,0.058293092,1.077978565,3.562043056,0.195512846,0.666055949,0.511670455,0.820441441,1.744034513,0.268313002
14,7,0.154646265,0.532646203,0.028115379,0.060714286,0.036130036,0.085298536,,0.077323132,0.266323101,0.01405769,0.030357143,0.018065018,0.042649268,1.155301697,3.828366157,0.209570535,0.696413092,0.529735473,0.863090709,1.851714789,0.264530684
15,7.5,0.150070525,0.527831946,0.026686825,0.071790541,0.044707067,0.098874014,,0.075035262,0.263915973,0.013343412,0.035895271,0.022353534,0.049437007,1.23033696,4.09228213,0.222913948,0.732308362,0.552089007,0.912527716,1.962645322,0.261686043
16,8,0.145689869,0.528363745,0.025331848,0.054528302,0.029289716,0.079766887,,0.072844934,0.264181873,0.012665924,0.027264151,0.014644858,0.039883444,1.303181894,4.356464003,0.235579872,0.759572513,0.566733865,0.95241116,2.062754407,0.257844301
17,8.5,0.147329991,0.530460416,0.025276137,0.04437751,0.020729528,0.068025492,,0.073664995,0.265230208,0.012638069,0.022188755,0.010364764,0.034012746,1.376846889,4.621694211,0.248217941,0.781761268,0.577098629,0.986423906,2.158608157,0.253953901
18,9,0.148867688,0.532815162,0.025523997,0.052040816,0.026344252,0.07773738,,0.074433844,0.266407581,0.012761999,0.026020408,0.013172126,0.03886869,1.451280733,4.888101792,0.260979939,0.807781676,0.590270755,1.025292596,2.259062409,0.251006934
19,9.5,0.147191446,0.533200315,0.024770675,0.05177665,0.023138882,0.080414417,,0.073595723,0.266600157,0.012385337,0.025888325,0.011569441,0.040207209,1.524876456,5.154701949,0.273365277,0.833670001,0.601840196,1.065499804,2.358546457,0.248268048
20,10,0.145698081,0.537798132,0.023308146,0.062576687,0.028137134,0.09701624,,0.07284904,0.268899066,0.011654073,0.031288344,0.014068567,0.04850812,1.597725497,5.423601015,0.28501935,0.864958345,0.615908763,1.114007924,2.462683841,0.246268384
