Borehole ID,VRM,Slope,Organic cover (m),Mineral soil (logs; first 3 m),Surficial materials (Rampton 1987 map),Holocene deposits,Holocene conf,Deposit.type,Deposit.type.conf,Notes
170-1-10,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-12,Smooth,Flat,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-17,Smooth,Undulating,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
170-1-18,Smooth,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
170-1-19,Smooth,Undulating,0,Gravel,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-2,Smooth,Rolling,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,2,Near ice wedge polygons and thermokarst lakes
170-1-21,Moderately rugged,Undulating,0,Sand,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-24,Rugged,Undulating,0.3,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-25,Smooth,Undulating,0.6,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-27,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-28,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-29,Smooth,Undulating,0,Till/sand,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-3,Smooth,Undulating,0.2,Sand/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-30,Moderately rugged,Undulating,0,Sand/cobbles,Glaciofluvial (ice-contact),Colluvial,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-31,Smooth,Undulating,0,Sand,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-32,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-33,Smooth,Rolling,0,Gravel/sand/till,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
170-1-35,Smooth,Undulating,0.3,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes
170-1-36,Smooth,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near ice wedge polygons and thermokarst lakes
170-1-37,Smooth,Rolling,0,Silt/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
