,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
204,174-18,1.5,2.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
225,174-22,1.5,2.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
274,174-34,0.8,2,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0.1,Till/clay,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
275,174-34,2,3,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0.1,Till/clay,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
276,174-36,0.1,1.7,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
291,174-39,0.1,1,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
316,174-52,4.6,5.8,Clay,CL,No,Yes,,,0,0,0,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
318,174-52,5.8,6.7,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
319,174-53,0.1,1.5,Clay,CH,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.1,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,
358,174-60,4.6,5.8,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
