Site ID,SampleID,From (m),To (m),Depth,Log depth,Material,Material.simplified,Material code,Organics code,VI num 1,VI num 2,Visible ice 1,Visible ice 2,Lower_VI,Upper_VI,Mid_VI,Excess ice (%),EI,Presence,EITrans,Holocene deposit,Holocene conf,Deposit.type,Deposit.type.conf
312_Pit (NTGS 13),NTGS17-BH13-06-A,2.5,3,2.75,0.439332694,Clay,Fine,1,0,3,NA,Low,NA,1,15,8,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-07-A,3,3.5,3.25,0.511883361,Clay,Fine,1,0,3,NA,Low,NA,1,15,8,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
312_Pit (NTGS 13),NTGS17-BH13-08-A,3.5,4,3.75,0.574031268,Clay,Fine,1,0,3,NA,Low,NA,1,15,8,0,0,0,0.001412429,Alluvial,2,Glaciofluvial,2
HUS_P (NTGS 8),NTGS17-BH08-13-C,6,6.5,6.25,0.795880017,Clay,Fine,1,0,50,75,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-24-C,6,6.5,6.25,0.795880017,Clay,Fine,1,0,50,75,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-25-C,6.5,7,6.75,0.829303773,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-17-C,8,8.5,8.25,0.916453949,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-28-C,8,8.35,8.175,0.912487761,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-29-C,8.5,9,8.75,0.942008053,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-19-C,9,9.5,9.25,0.966141733,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-30-C,9,9.5,9.25,0.966141733,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-20-C,9.5,10,9.75,0.989004616,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
