,Site.ID,SampleID,From..m.,To..m.,Depth,Material,Material.simplified,Material.code,Organics.code,VI.num.1,Visible.ice.1,Mid_VI,Cryostructures,Cryostructures.code,Missing.cryostructure,EI,EITrans,Presence,Deposit.type,Deposit.type.conf
285,177_Pond (NTGS 12),NTGS17-BH12-01-C,0.82,1,0.91,Organics,Organics,4,1,0,No visible ice,0,,1,1,0.3528,0.353215819,1,Moraine,3
291,177_Pond (NTGS 12),NTGS17-BH12-02-C,1,1.5,1.25,Organics,Organics,4,1,63,Medium to high,0,,1,1,0.3596,0.35999661,1,Moraine,3
1,177_Pond (NTGS 12),NTGS17-BH12-05-C,2.5,2.9,2.7,Till,Till,4,0,63,Medium to high,45,,1,1,0,0.001412429,0,Moraine,3
237,177_Pond (NTGS 12),NTGS17-BH12-04-C,2,2.5,2.25,Till,Till,4,0,63,Medium to high,45,,1,1,0.0902,0.091357627,1,Moraine,3
253,177_Pond (NTGS 12),NTGS17-BH12-03-C,1.5,2,1.75,Till,Till,4,0,63,Medium to high,45,,1,1,0.1654,0.166345198,1,Moraine,3
22,HUS_H (NTGS 7),NTGS17-BH07-02-A,1.5,2,1.75,Coarse till,Coarse,5,0,3,Low,8,,1,1,0,0.001412429,0,Moraine,3
23,HUS_H (NTGS 7),NTGS17-BH07-03-A,2,2.5,2.25,Coarse till,Coarse,5,0,3,Low,8,,1,1,0,0.001412429,0,Moraine,3
26,HUS_H (NTGS 7),NTGS17-BH07-18-A,9.5,10,9.75,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
27,HUS_H (NTGS 7),NTGS17-BH07-19-A,10,10.5,10.25,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
28,HUS_H (NTGS 7),NTGS17-BH07-20-A,10.5,11,10.75,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
29,HUS_H (NTGS 7),NTGS17-BH07-21-A,11,11.5,11.25,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
30,HUS_H (NTGS 7),NTGS17-BH07-37-A,11.5,12,11.75,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
31,HUS_H (NTGS 7),NTGS17-BH07-22-A,12,12.5,12.25,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
32,HUS_H (NTGS 7),NTGS17-BH07-23-A,12.5,13,12.75,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
33,HUS_H (NTGS 7),NTGS17-BH07-38-A,13,13.5,13.25,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
34,HUS_H (NTGS 7),NTGS17-BH07-24-A,13.5,14,13.75,Coarse till,Coarse,5,0,0,No visible ice,0,Nbn,1,0,0,0.001412429,0,Moraine,3
