,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
1,174-18,1.5,2.4,1.95,Fine,Glaciolacustrine,2,45,0.298536151
2,174-22,1.5,2.4,1.95,Fine,Glaciolacustrine,3,45,0.121459011
3,174-36,0.1,1.7,0.9,Fine,Glaciolacustrine,3,45,0.12548621
4,174-39,0.1,1,0.55,Fine,Glaciolacustrine,2,45,0.308958621
5,174-53,0.1,1.5,0.8,Fine,Glaciolacustrine,2,45,0.307082835
6,174-60,4.6,5.8,5.2,Fine,Glaciolacustrine,2,8,0.157886213
7,177 South - 15,0.1,1.8,0.95,Fine,Glaciolacustrine,3,45,0.125291908
8,177 South - 3,0.2,1.5,0.85,Fine,Glaciolacustrine,3,45,0.125680767
9,177 South - 3,4.3,5,4.65,Fine,Glaciolacustrine,3,45,0.111605459
10,177 South - 5,0.1,1.5,0.8,Fine,Glaciolacustrine,2,45,0.307082835
11,177 South - 7,0.1,1.5,0.8,Fine,Glaciolacustrine,3,45,0.125875578
12,177 South - 8,4.3,4.6,4.45,Fine,Glaciolacustrine,3,87,0.22013297
13,177 South - 8,0.1,1.5,0.8,Fine,Glaciolacustrine,3,45,0.125875578
14,19A-01,0,1.5,0.75,Fine,Glaciolacustrine,2,45,0.307457488
15,19A-06,0.8,1.5,1.15,Fine,Glaciolacustrine,3,45,0.124517242
16,19A-09,0.2,1.5,0.85,Fine,Glaciolacustrine,2,45,0.306708434
17,19A-10,0.2,1,0.6,Fine,Glaciolacustrine,2,45,0.30858296
18,19A-10,1,1.5,1.25,Fine,Glaciolacustrine,2,45,0.303722359
19,19A-11,0.2,1.8,1,Fine,Glaciolacustrine,2,8,0.1786316
20,309-03,2.4,3,2.7,Fine,Glaciolacustrine,2,45,0.29303598
21,309-11,1,2.9,1.95,Fine,Glaciolacustrine,2,45,0.298536151
22,309-11,4.6,5.8,5.2,Fine,Glaciolacustrine,2,45,0.275135709
23,309-22,2.6,5.8,4.2,Fine,Glaciolacustrine,2,45,0.282214617
24,309-38,0.1,0.6,0.35,Fine,Glaciolacustrine,2,45,0.310463768
25,309-51,0.6,1.5,1.05,Fine,Glaciolacustrine,2,8,0.178372678
26,312-04,8.2,8.5,8.35,Fine,Glaciolacustrine,2,45,0.25356612
27,312-04,0.1,1,0.55,Fine,Glaciolacustrine,2,45,0.308958621
28,312-12,1.5,3,2.25,Fine,Glaciolacustrine,2,8,0.172245611
29,312-16,0.1,1.2,0.65,Fine,Glaciolacustrine,2,45,0.308207551
30,312-18,3.8,4.6,4.2,Fine,Glaciolacustrine,2,45,0.282214617
31,312-23,0.1,0.3,0.2,Fine,Glaciolacustrine,2,45,0.311595251
32,AH112.2C,2.1,3.5,2.8,Fine,Glaciolacustrine,2,0,0.149053846
33,AH112.2C,3.5,4.4,3.95,Fine,Glaciolacustrine,2,8,0.163849665
34,AH112.2C,1.5,2.1,1.8,Fine,Glaciolacustrine,2,45,0.299643225
35,AH112.2C,1,1.5,1.25,Fine,Glaciolacustrine,2,8,0.177339899
36,AH112.2C,4.4,7.8,6.1,Fine,Glaciolacustrine,2,8,0.153701413
37,AH112.2N,3,5.2,4.1,Fine,Glaciolacustrine,3,8,0.059078042
38,AH112.2N,0.1,3,1.55,Fine,Glaciolacustrine,3,45,0.122980066
39,AH112.2S,1.5,5.2,3.35,Fine,Glaciolacustrine,3,0,0.052327911
40,AH112.2S,0.3,1.5,0.9,Fine,Glaciolacustrine,3,45,0.12548621
41,ENG.YARC03097-01//HUS_P (NTGS 8),6.1,10.4,8.25,Fine,Glaciolacustrine,3,45,0.099544669
42,ENG.YARC03097-01//I401A_Pit (NTGS 15),0.9,5.9,3.4,Fine,Glaciolacustrine,2,8,0.166529782
43,ENG.YARC03097-01//TVC_H (NTGS 5),2,11.7,6.85,Fine,Glaciolacustrine,3,8,0.053816997
44,ENG.YARC03097-01//TVC_P (NTGS 4),6.7,9,7.85,Fine,Glaciolacustrine,3,45,0.100826158
45,ENG.YARC03097-01//TVC_P (NTGS 4),9,10.1,9.55,Fine,Glaciolacustrine,3,8,0.049072493
46,GSC1A - P1,1.5,8,4.75,Fine,Glaciolacustrine,3,45,0.111254096
47,GSC1A - P1,8,10.1,9.05,Fine,Glaciolacustrine,3,45,0.097024388
48,GSC1A - P1,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
49,GSC1A - P4,1.5,6,3.75,Fine,Glaciolacustrine,3,45,0.114810931
50,GSC1A - P4,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
51,GSC1A - P5,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
52,GSC1A - P5,1.5,8,4.75,Fine,Glaciolacustrine,3,45,0.111254096
53,GSC1A - P5,8,9,8.5,Fine,Glaciolacustrine,3,45,0.098750992
54,GSC1A - P6,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
55,GSC3 - 14,0.6,2,1.3,Fine,Glaciolacustrine,3,45,0.123938905
56,GSC3 - 14,0.2,0.6,0.4,Fine,Glaciolacustrine,3,45,0.127443262
57,GSC3 - 16,0,1.5,0.75,Fine,Glaciolacustrine,3,8,0.066119007
58,GSC3 - 16,4.6,7.3,5.95,Fine,Glaciolacustrine,3,0,0.047868805
59,GSC3 - 16,2.1,4.6,3.35,Fine,Glaciolacustrine,3,8,0.060592215
60,GSC3 - 17,0,1.8,0.9,Fine,Glaciolacustrine,3,8,0.065788113
61,GSC3 - 24,2.1,3.4,2.75,Fine,Glaciolacustrine,3,45,0.118464845
62,GSC3 - 24,0.2,2.1,1.15,Fine,Glaciolacustrine,3,45,0.124517242
63,GSC3 - 25,1.4,2.1,1.75,Fine,Glaciolacustrine,3,0,0.05525812
64,GSC3 - 31,0.8,3.7,2.25,Fine,Glaciolacustrine,3,8,0.062877033
65,GSC3 - 7,0.2,1.8,1,Fine,Glaciolacustrine,3,45,0.125097861
66,GSC3 - 7,3.1,3.4,3.25,Fine,Glaciolacustrine,3,8,0.060796756
67,GSC4 - 11,4.3,4.7,4.5,Fine,Glaciolacustrine,3,45,0.112134297
68,GSC4 - 12,2.1,2.9,2.5,Fine,Glaciolacustrine,3,0,0.053866367
69,GSC4 - 12,2.9,6.1,4.5,Fine,Glaciolacustrine,3,8,0.058284676
70,GSC4 - 13,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
71,GSC4 - 13,3.1,4.9,4,Fine,Glaciolacustrine,3,0,0.051178745
72,GSC4 - 13,4.9,6.1,5.5,Fine,Glaciolacustrine,3,8,0.056343647
73,GSC4 - 13,1.5,3.1,2.3,Fine,Glaciolacustrine,3,45,0.12014123
74,GSC4 - 14,5.5,6,5.75,Fine,Glaciolacustrine,3,8,0.055867714
75,GSC4 - 14,3.7,4.2,3.95,Fine,Glaciolacustrine,3,8,0.059378086
76,GSC4 - 16,3.5,6,4.75,Fine,Glaciolacustrine,3,45,0.111254096
77,GSC4 - 16,1.5,3.5,2.5,Fine,Glaciolacustrine,3,8,0.062350977
78,GSC4 - 18,5.5,6,5.75,Fine,Glaciolacustrine,3,8,0.055867714
79,GSC4 - 19,1.5,2.4,1.95,Fine,Glaciolacustrine,3,45,0.121459011
80,GSC4 - 36,2.4,3.1,2.75,Fine,Glaciolacustrine,3,45,0.118464845
81,GSC4 - 36,3.1,5.2,4.15,Fine,Glaciolacustrine,3,45,0.113376643
82,GSC4 - 40,2.4,3,2.7,Fine,Glaciolacustrine,3,0,0.053500694
83,GSC4 - 44,0,4,2,Fine,Glaciolacustrine,3,0,0.054790587
84,GSC4 - 5,0,1.8,0.9,Fine,Glaciolacustrine,3,45,0.12548621
85,GSC4 - 5,1.8,3.4,2.6,Fine,Glaciolacustrine,3,8,0.062141678
86,GSC4 - 5,4.9,6.1,5.5,Fine,Glaciolacustrine,3,8,0.056343647
87,GSC4 - 55,1.5,1.9,1.7,Fine,Glaciolacustrine,3,8,0.064048595
88,GSC4 - 6,5.5,6.1,5.8,Fine,Glaciolacustrine,3,8,0.055772969
89,GSC4 - 6,0.3,5.5,2.9,Fine,Glaciolacustrine,3,45,0.117910502
90,GSC4 - 7,1.2,3.1,2.15,Fine,Glaciolacustrine,3,8,0.063088584
91,GSC4 - 8,3.1,5.2,4.15,Fine,Glaciolacustrine,3,45,0.113376643
92,GSC4 - 8,5.2,6.1,5.65,Fine,Glaciolacustrine,3,0,0.048364879
93,GSC4 - 8,1.5,3.1,2.3,Fine,Glaciolacustrine,3,8,0.0627715
94,GSC4 - 9,1.3,3.1,2.2,Fine,Glaciolacustrine,3,0,0.05441917
95,I401A - 33,4.4,5.9,5.15,Fine,Glaciolacustrine,2,0,0.138812245
96,I401A - 33,7.2,7.6,7.4,Fine,Glaciolacustrine,2,0,0.129559493
